Country,Code,Code 3digit,Mask wearing,Sources and comments,Gatherings limited to 1000 people or less,Sources and comments,Gatherings limited to 100 people or less,Sources and comments,Gatherings limited to 10 people or less,Sources and comments,Some businesses closed,Sources and comments,Most nonessential businesses closed,Sources and comments,Schools closed,Sources and comments,Stay-at-home order,Sources and comments
Morocco,MA,MAR,07.04.2020,"https://www.moroccoworldnews.com/2020/04/298834/wearing-face-masks-outside-is-mandatory-in-morocco-starting-april-7/

https://www.hespress.com/societe/466595.html",04.03.2020,"Quote: ban on public gatherings or meetings of more than 1,000 people.

The new regulations are an update of the previous ban on public gatherings, issued on March 4 and regarding meetings of more than 1,000 people.

Source: https://www.moroccoworldnews.com/2020/03/296129/morocco-bans-public-gatherings-of-over-50-people-cancels-all-events/

Archive: https://web.archive.org/save/https://www.moroccoworldnews.com/2020/03/296129/morocco-bans-public-gatherings-of-over-50-people-cancels-all-events/",14.03.2020,"Quote: ban on public gatherings or meetings of more than 1,000 people.

The new regulations are an update of the previous ban on public gatherings, issued on March 4 and regarding meetings of more than 1,000 people.

Source: https://www.moroccoworldnews.com/2020/03/296129/morocco-bans-public-gatherings-of-over-50-people-cancels-all-events/

Archive: https://web.archive.org/save/https://www.moroccoworldnews.com/2020/03/296129/morocco-bans-public-gatherings-of-over-50-people-cancels-all-events/",no,"No evidence it has reduced since being set at >50, Oxford also find no evidence",16.03.2020,"Source: https://www.garda.com/crisis24/news-alerts/323531/morocco-government-closes-businesses-amid-covid-19-outbreak-march-16-update-8

Archive: https://web.archive.org/save/https://www.garda.com/crisis24/news-alerts/323531/morocco-government-closes-businesses-amid-covid-19-outbreak-march-16-update-8

Quote: Government calls for closure of restaurants, cafés, and theaters nationwide amid ongoing COVID-19 outbreak as of March 16; follow authority directives

The Moroccan government has called for the closure of restaurants, cafés, theaters, and cinemas nationwide as of Monday, March 16, in efforts to curb the spread of the coronavirus (COVID-19) in the country. The order went into effect on Monday at 18:00 (local time), and also affects gyms and hammams. It will remain in place until further notice. Markets, grocery stores, and restaurants that operate delivery service are not affected.",20.03.2020,"Quote:
Morocco declared a state of medical emergency on 19 March 2020, to take effect on 20 March 2020 at 6:00 pm local time and to remain in effect until April 20, 2020 with possibility to extend for a longer period.[72][73] This directive requires the authorization of local state officials for citizens to leave their homes, while making exceptions for workers at supermarkets, pharmacies, banks, gas stations, medical clinics, telecommunications companies, and essential freelance jobs

Source: https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/

Archive: https://web.archive.org/save/https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/
",16.03.2020,https://web.archive.org/web/20200315101721/http://www.mapnews.ma/en/actualites/general/courses-suspended-morocco-march-16-until-further-notice,20.03.2020,"Quote: 
Morocco declared a state of medical emergency on 19 March 2020, to take effect on 20 March 2020 at 6:00 pm local time and to remain in effect until April 20, 2020 with possibility to extend for a longer period.[72][73] This directive requires the authorization of local state officials for citizens to leave their homes, while making exceptions for workers at supermarkets, pharmacies, banks, gas stations, medical clinics, telecommunications companies, and essential freelance jobs

Source: https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/

Archive: Quote:
Morocco declared a state of medical emergency on 19 March 2020, to take effect on 20 March 2020 at 6:00 pm local time and to remain in effect until April 20, 2020 with possibility to extend for a longer period.[72][73] This directive requires the authorization of local state officials for citizens to leave their homes, while making exceptions for workers at supermarkets, pharmacies, banks, gas stations, medical clinics, telecommunications companies, and essential freelance jobs

Source: https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/

Archive: https://web.archive.org/save/https://www.moroccoworldnews.com/2020/03/296213/covid-19-morocco-declares-public-health-emergency/"
Malta,MT,MLT,no,,10.03.2020,"Quote: Prime Minister Abela also announced a ban on outdoor events of more than 2000 people and indoor events of more than 750 people.


Source: https://www.garda.com/crisis24/news-alerts/321756/malta-government-announces-new-travel-restrictions-march-11-update-2

Archive: https://web.archive.org/save/https://www.garda.com/crisis24/news-alerts/321756/malta-government-announces-new-travel-restrictions-march-11-update-2",22.03.2020,"Quote: Fearne said all public gatherings, of whatever nature, were also being banned.

Source: https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA

Archive: https://web.archive.org/save/https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA",22.03.2020,"Quote: Fearne said all public gatherings, of whatever nature, were also being banned.

Source: https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA

Archive: https://web.archive.org/save/https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA",16.03.2020,"Original source: Wikipedia contributors. (2020, May 7). COVID-19 pandemic in Malta. In Wikipedia, The Free Encyclopedia. Retrieved 09:59, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Malta&oldid=955430131

Archive: https://web.archive.org/save/https://lovinmalta.com/news/news-breaking/breaking-malta-to-close-all-bars-restaurants-and-gyms-from-tomorrow/

Quote: Following reports from spot checks, Malta tripled it's mandatory quarantine fine to €3,000 each time since 16 March.[29] Later on in the evening, Abela informed the nation that all gyms, bars and restaurants would temporarily close. Food and Beverage outlets were to be allowed to operate only if they were offering take away and/or delivery service.",22.03.2020,"Quote: closure of non-essential services 


Source 1: Wikipedia contributors. (2020, May 7). COVID-19 pandemic in Malta. In Wikipedia, The Free Encyclopedia. Retrieved 09:59, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Malta&oldid=955430131

Source2: https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA

Archive: https://web.archive.org/save/https://www.reuters.com/article/health-coronavirus-malta/malta-closes-all-non-essential-shops-services-as-coronavirus-cases-rise-idUSL8N2BF0OA",13.03.2020,https://web.archive.org/web/20200404112604/https://www.maltatoday.com.mt/news/national/100955/live_prime_minister_to_announce_new_measures_related_to_coronavirus?fbclid=IwAR2-fStyF7-5t3jh-SISkoVAJOWxG6YzQdZkhlEXcPBIIr5e1j79mw7mtwU,no,"Quote: Only over 65 advised to stay at home - 


Source: http://www.xinhuanet.com/english/2020-04/04/c_138947554.htm

Archive: https://web.archive.org/save/http://www.xinhuanet.com/english/2020-04/04/c_138947554.htm"
Mexico,MX,MEX,21.04.2020,survey result,24.03.2020,"March 24 – President López Obrador announced that Mexico had entered Phase 2 of the coronavirus pandemic, in effect until April 30. Gatherings of more than 100 people were prohibited, and both the Mexican Army and the Mexican Navy would participate

Source: https://www.unotv.com/noticias/portal/nacional/detalle/coronavirus-en-mexico-amlo-anuncia-plan-de-proteccion-contra-covid-19-776166/

Archive: https://web.archive.org/save/https://www.unotv.com/noticias/portal/nacional/detalle/coronavirus-en-mexico-amlo-anuncia-plan-de-proteccion-contra-covid-19-776166/",24.03.2020,"March 24 – President López Obrador announced that Mexico had entered Phase 2 of the coronavirus pandemic, in effect until April 30. Gatherings of more than 100 people were prohibited, and both the Mexican Army and the Mexican Navy would participate

Source: https://www.unotv.com/noticias/portal/nacional/detalle/coronavirus-en-mexico-amlo-anuncia-plan-de-proteccion-contra-covid-19-776166/

Archive: https://web.archive.org/save/https://www.unotv.com/noticias/portal/nacional/detalle/coronavirus-en-mexico-amlo-anuncia-plan-de-proteccion-contra-covid-19-776166/",no,"Currently no available evidence that Mexico have banned gatherings of 10 people. Latest is that they have banned >50 

Source: https://apnews.com/1fd6413c9615da74d44d971075ebf4ff

Archive: https://web.archive.org/save/https://apnews.com/1fd6413c9615da74d44d971075ebf4",22.03.2020,"Quote: Closed in Mexico city, Bars, nightclubs, movie theaters and museums were closed in Mexico City.

Source: https://www.eluniversal.com.mx/english/mexico-city-closes-museums-bars-nightclubs-and-movie-theaters-bid-halt-coronavirus-spread

Archive: https://web.archive.org/save/https://www.eluniversal.com.mx/english/mexico-city-closes-museums-bars-nightclubs-and-movie-theaters-bid-halt-coronavirus-spread",01.04.2020,"Source: https://mexiconewsdaily.com/news/coronavirus/mexico-city-orders-shopping-centers-stores-to-close/

Archive:https://web.archive.org/save/https://mexiconewsdaily.com/news/coronavirus/mexico-city-orders-shopping-centers-stores-to-close/

Quote: Mexico City orders shopping centers, department stores to close
Supermarkets, other food stores, pharmacies, gas stations and banks will remain open",20.03.2020,"School Easter break extended, i.e. efficiently closing schools

https://web.archive.org/web/20200315141036/https://www.am.com.mx/noticias/SEP-anuncia-que-vacaciones-de-Semana-Santa-se-adelantan-por-coronavirus-20200314-0021.html
",no,"No mandatory curfew found, only request 

Source 1:On March 30th an order was issue requesting people to stay at home


Archive: https://web.archive.org/web/20200420181005/https://www.gob.mx/presidencia/prensa/llamo-a-la-unidad-incluso-a-los-adversarios-la-patria-es-primero-afirma-presidente?idiom=es


Source 2: https://www.nytimes.com/2020/03/25/world/americas/coronavirus-brasil-mexico.html"
Malaysia,MY,MYS,17.03.2020,survey result,12.03.2020,"Ban of gatherings with over 250 people


Source:
https://www.theedgemarkets.com/article/malaysia-bans-public-gatherings-over-250-people-curb-covid19-spread

Archive: https://web.archive.org/save/https://www.theedgemarkets.com/article/malaysia-bans-public-gatherings-over-250-people-curb-covid19-spread",18.03.2020,"Quote: The public is prohibited to mass gather or attend massive events including religious, sports, social and cultural activities. All worshiping locations and business premises should be closed except for supermarkets, public markets, grocery stores and convenience stores that sells everyday necessities. For Muslims, all religious activities in mosques including Friday prayers are adjourned in line with decision made on 15 March 2020 by the Special Muzakarah Committee Meeting of the National Fatwa Council

Source: https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating

Archive: https://web.archive.org/save/https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating",18.03.2020,"Quote: The public is prohibited to mass gather or attend massive events including religious, sports, social and cultural activities. All worshiping locations and business premises should be closed except for supermarkets, public markets, grocery stores and convenience stores that sells everyday necessities. For Muslims, all religious activities in mosques including Friday prayers are adjourned in line with decision made on 15 March 2020 by the Special Muzakarah Committee Meeting of the National Fatwa Council

Source: https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating

Archive: https://web.archive.org/save/https://www.nst.com.my/news/nation/2020/03/575177/covid-19-movement-control-order-imposed-only-essential-sectors-operating",18.03.2020,"Source: https://www.malaymail.com/news/malaysia/2020/03/16/pm-malaysia-in-lockdown-from-wed-until-march-31-all-shops-closed-except-for/1847204

Archive: https://web.archive.org/save/https://www.malaymail.com/news/malaysia/2020/03/16/pm-malaysia-in-lockdown-from-wed-until-march-31-all-shops-closed-except-for/1847204

PM: Malaysia under movement control order from Wed until March 31, all shops closed except for essential services

Muhyiddin said this means that all business premises have to be shut down, except for outlets such as supermarkets and grocery stores selling daily essentials.",18.03.2020,"Source: https://www.malaymail.com/news/malaysia/2020/03/16/pm-malaysia-in-lockdown-from-wed-until-march-31-all-shops-closed-except-for/1847204

Archive: https://web.archive.org/save/https://www.malaymail.com/news/malaysia/2020/03/16/pm-malaysia-in-lockdown-from-wed-until-march-31-all-shops-closed-except-for/1847204

PM: Malaysia under movement control order from Wed until March 31, all shops closed except for essential services

Muhyiddin said this means that all business premises have to be shut down, except for outlets such as supermarkets and grocery stores selling daily essentials.",18.03.2020,https://web.archive.org/web/20200317033602/https://www.thestar.com.my/news/nation/2020/03/16/malaysia-announces-restricted-movement-measure-after-spike-in-covid-19-cases,18.03.2020,"Movement control order in place from 18.3.2020 appears to mandate staying at home. Although the languge is not totally clear

The public is prohibited to mass gather or attend massive events including religious, sports, social and cultural activities. All worshiping locations and business premises should be closed except for supermarkets, public markets, grocery stores and convenience stores that sells everyday necessities. For Muslims, all religious activities in mosques including Friday prayers are adjourned in line with decision made on 15 March 2020 by the Special Muzakarah Committee Meeting of the National Fatwa Council.[313]


Source: https://www.channelnewsasia.com/news/asia/malaysia-movement-control-order-covid19-muhyiddin-yassin-12575512

Archive: https://web.archive.org/save/https://www.channelnewsasia.com/news/asia/malaysia-movement-control-order-covid19-muhyiddin-yassin-12575512"
Netherlands (the),NL,NLD,no,,12.03.2020,"Quote: All events (concerts, sports) and all meetings with more than 100 people are now forbidden 

Archive: https://web.archive.org/web/20200324181843/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland",12.03.2020,"Quote: All events (concerts, sports) and all meetings with more than 100 people are now forbidden 

Archive: https://web.archive.org/web/20200324181843/https://www.rijksoverheid.nl/onderwerpen/coronavirus-covid-19/nieuws/2020/03/12/nieuwe-maatregelen-tegen-verspreiding-coronavirus-in-nederland",23.03.2020,https://web.archive.org/web/20200324143238/https://www.government.nl/topics/coronavirus-covid-19/news/2020/03/23/stricter-measures-to-control-coronavirus,15.03.2020,"Source: https://nos.nl/artikel/2327194-alle-scholen-cafes-en-restaurants-tot-en-met-6-april-dicht-om-coronavirus.html

Archive: https://web.archive.org/save/https://nos.nl/artikel/2327194-alle-scholen-cafes-en-restaurants-tot-en-met-6-april-dicht-om-coronavirus.html",no,,15.03.2020,"https://web.archive.org/web/20200315212517/https://nos.nl/artikel/2327194-alle-scholen-cafes-en-restaurants-tot-en-met-6-april-dicht-om-coronavirus.html

https://en.wikipedia.org/wiki/COVID-19_pandemic_in_the_Netherlands

",no,
Norway,NO,NOR,no,,11.03.2020,"Quote: 
Gathering >500 banned 11.3.2020

Source 1: https://www.bloomberg.com/news/articles/2020-03-11/norway-bans-large-events-bars-travelers-after-77-virus-surge

Archive: https://web.archive.org/save/https://www.bloomberg.com/news/articles/2020-03-11/norway-bans-large-events-bars-travelers-after-77-virus-surge

Source 2: https://www.thelocal.no/20200311/norway-bans-big-events-and-calls-for-office-workers-to-stay-home

Archive: https://web.archive.org/save/https://www.thelocal.no/20200311/norway-bans-big-events-and-calls-for-office-workers-to-stay-home",25.03.2020,"Quote"" In addition, the rules governing outdoor gatherings are now more restrictive: only five people can be together outdoors.”.""

Source: https://web.archive.org/web/20200425122515/https://www.oslo.kommune.no/english/coronavirus/status-reports-on-coronavirus-measures/24-march-the-preventive-measures-against-the-coronavirus-continues-until-13-april",25.03.2020,"Quote"" In addition, the rules governing outdoor gatherings are now more restrictive: only five people can be together outdoors.”.""

Source: https://web.archive.org/web/20200425122515/https://www.oslo.kommune.no/english/coronavirus/status-reports-on-coronavirus-measures/24-march-the-preventive-measures-against-the-coronavirus-continues-until-13-april",12.03.2020,"Source 1: Some closings targeted toward e.g. hygiene services such as barber shops, as well as restaurants, pubs, fitness centres etc. https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/; 

Archive: https://web.archive.org/save/https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/;

Source 2: https://www.nrk.no/norge/alle-utdanningsinstitusjoner-stenges-_-flere-arrangementer-og-virksomheter-far-forbud-1.14940952

Archive: https://web.archive.org/save/https://www.nrk.no/norge/alle-utdanningsinstitusjoner-stenges-_-flere-arrangementer-og-virksomheter-far-forbud-1.14940952",12.03.2020,"losure involved: 


1. cultural events
2. Sports events and organized sports activities both indoors and outdoors
3. All establishments in the hospitality industry except for serving places where food is served, ie canteens and eateries that can allow visitors to stay at least 1 meter away. Food should not be served as a buffet. The hospitality industry includes restaurant, bar, pub and nightlife.
4.Gyms
5.Companies that provide hairdressing services, skin care, massage and body care, tattooing, piercing and the like
Swimming pools, water parks and the like

However I think some non-essential shops may have remained open. Not sure if this counts as all non essential bussiness 

Source 1: Some closings targeted toward e.g. hygiene services such as barber shops, as well as restaurants, pubs, fitness centres etc. https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/; 

Archive: https://web.archive.org/save/https://www.regjeringen.no/en/aktuelt/coronavirus-measures-to-continue/id2694682/;


Source 2: https://www.nrk.no/norge/alle-utdanningsinstitusjoner-stenges-_-flere-arrangementer-og-virksomheter-far-forbud-1.14940952

Archive: https://web.archive.org/save/https://www.nrk.no/norge/alle-utdanningsinstitusjoner-stenges-_-flere-arrangementer-og-virksomheter-far-forbud-1.14940952",12.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Norway

https://web.archive.org/web/20200312152641/https://www.nrk.no/norge/alle-utdanningsinstitusjoner-stenges-_-flere-arrangementer-og-virksomheter-far-forbud-1.14940952",no,"Source: https://www.thelocal.com/20200421/explained-are-denmark-and-norways-restrictions-still-tougher-than-swedens

Archive: https://web.archive.org/save/https://www.thelocal.com/20200421/explained-are-denmark-and-norways-restrictions-still-tougher-than-swedens"
New Zealand,NZ,NZL,no,,16.03.2020,"Quote: Bans gatherings over 500 people
The restrictions on gatherings will not apply to schools or universities but will apply to both indoor and outdoor meetings.

Source: 
https://web.archive.org/web/20200402114757/https://www.theguardian.com/world/2020/mar/16/we-dont-want-to-be-italy-new-zealand-bans-gatherings-of-more-than-500-due-to-coronavirus",19.03.2020,"On 19 March, the Government required the cancellation of indoor gatherings of more than 100 people. 

This did not apply to workplaces, schools, supermarkets or public transport. And did not apply outdoors (limit still 500)

the Government required the cancellation of indoor gatherings of more than 100 people. 

Source: 
Wikipedia contributors. (2020, May 8). COVID-19 pandemic in New Zealand. In Wikipedia, The Free Encyclopedia. Retrieved 10:35, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_Zealand&oldid=955510736

Archive: https://web.archive.org/save/https://www.beehive.govt.nz/release/action-indoor-gatherings-and",23.03.2020,"Source 1: https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12319029

Archive: https://web.archive.org/save/https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12319029",23.03.2020,"Quote: Level 3 announced
'Prime minister Jacinda Ardern this afternoon [23rd March] announced an immediate lift in the Covid-19 alert status from level two to level three
your business cannot operate if it requires close physical contact.

Source: 
https://web.archive.org/web/20200401234228/https://thespinoff.co.nz/politics/23-03-2020/covid-19-nz-live-updates-march-23-courts-to-continue-operating-several-schools-closed/ 
/web/20200429095621/https://covid19.govt.nz/businesses-and-employees/businesses-and-services/doing-business-at-alert-level-3/",25.03.2020,"Alert 4 started: 

Source 1: https://covid19.govt.nz/assets/resources/tables/COVID-19-alert-levels-detailed.pdf

Source 2:Level 4 at 11.59pm on Wednesday [25th March] night. This means people are instructed to stay at home, schools and non-essential businesses are to close and travel will be severely limited. It will stay this way for at least four weeks.'

Archive: 
https://web.archive.org/web/20200401234228/https://thespinoff.co.nz/politics/23-03-2020/covid-19-nz-live-updates-march-23-courts-to-continue-operating-several-schools-closed/",24.03.2020,https://web.archive.org/web/20200323155418/https://www.nzherald.co.nz/nz/news/article.cfm?c_id=1&objectid=12319139,23.03.2020,"Ardern announced on 23 March that, effective immediately, New Zealand would be at alert level 3, 
Alert level 3 includes:
""People must stay within their immediate household bubble,
but can extend this to reconnect with close family/whānau, or
bring in caregivers, or support isolated people. This extended
bubble should remain exclusive. Anyone who feels unwell must
immediately self-isolate from others in their extended bubble""




Then moving to level 4 at 11:59 pm on 25 March -  Source: Wikipedia contributors. (2020, May 8). COVID-19 pandemic in New Zealand. In Wikipedia, The Free Encyclopedia. Retrieved 10:35, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_Zealand&oldid=955510736

Government informing of the imminent move to Alert Level 4 which includes People instructed to stay at home (in their bubble) other than for essential personal movement.

Source: Wikipedia contributors. (2020, May 8). COVID-19 pandemic in New Zealand. In Wikipedia, The Free Encyclopedia. Retrieved 10:35, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_New_Zealand&oldid=955510736

Archive: https://web.archive.org/web/20200325014330/https://www.newstalkzb.co.nz/news/national/coronavirus-covid-19-state-of-emergency-declared-in-new-zealand-50-new-cases-confirmed/"
Poland,PL,POL,16.04.2020,"https://www.gov.pl/web/koronawirus/zaslon-usta-i-nos

https://www.corona24.news/c/2020/04/09/coronavirus-in-poland-recorded-the-largest-number-of-deaths-per-day-since-the-outbreak-2.html",10.03.2020,"Quote: authorities cancelled all mass events, defined as those allowing 1000 or more participants in the case of outdoor events and 500 or more participants in the case of events in buildings

Source:
Wikipedia contributors. (2020, May 8). COVID-19 pandemic in Poland. In Wikipedia, The Free Encyclopedia. Retrieved 10:43, May 8, 2020, from https://en.wikipedia.org/w/index.php?title=COVID-19_pandemic_in_Poland&oldid=955516721

Archive: https://web.archive.org/save/https://zdrowie.trojmiasto.pl/Odwolano-wszystkie-imprezy-masowe-n143077.html",24.03.2020,"Quote: The gatherings were allowed to be bigger, up to 50 people, inclusive of religious personnel

Archive: https://web.archive.org/save/https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517",24.03.2020,"Quote: The gatherings were allowed to be bigger, up to 50 people, inclusive of religious personnel

Archive: https://web.archive.org/save/https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517",14.03.2020,"Quote: PM orders bars, restaurants, shopping centres and borders closed

Archive: https://web.archive.org/save/https://www.thefirstnews.com/article/poland-in-covid-19-lockdown-pm-orders-bars-restaurants-shopping-centres-and-borders-closed---and-cancels-all-flights-11142",24.03.2020,Archive: https://web.archive.org/web/20200324231929/https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517,12.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Poland
https://web.archive.org/web/20200320192438/https://www.gov.pl/web/edukacja/zawieszenie-zajec-w-szkolach
",24.03.2020,Archive: https://web.archive.org/web/20200324231929/https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517
Portugal,PT,PRT,no,,09.03.2020,"Quote: The Minister of Internal Administration, Eduardo Cabrita, announces the suspension of all flights to or from the areas most affected by covid-19 in Italy and recommends the suspension of events in open spaces with more than 5,000 people or in closed spaces with more of a thousand.

Source: https://www.theportugalnews.com/news/evolution-of-the-pandemic-in-portugal/53639

Archive: https://web.archive.org/save/https://www.theportugalnews.com/news/evolution-of-the-pandemic-in-portugal/53639",15.03.2020,"15th of March 

Source1: https://www.theportugalnews.com/news/evolution-of-the-pandemic-in-portugal/53639

Archive: https://web.archive.org/save/https://www.theportugalnews.com/news/evolution-of-the-pandemic-in-portugal/53639

Source 2: https://www.urdupoint.com/en/miscellaneous/portugal-bans-gatherings-of-more-than-100-due-865153.html

Archive: https://web.archive.org/save/https://www.urdupoint.com/en/miscellaneous/portugal-bans-gatherings-of-more-than-100-due-865153.html",18.03.2020,"Quote: As for the suspension of the right to travel, in addition to the ""mandatory seclusion"" of patients and those infected with COVID-19 and SARS-Cov2, or to those who have been determined to be subject to active monitoring, a ""general duty of home confinement"" is enacted, with exceptions for those travels that prove necessary for certain purposes and functions essential to survival, such as the acquisition of goods and services, the exercise of the professional practice, travels to some services, performance of procedural acts in court and provision of medical-veterinary care. Other short-term trips are foreseen, namely for physical activity, accompanying children outdoors and walking with pets. The need to travel for imperative family reasons is also provided for. Freedom of press has not been restricted, with the possibility of travelling to exercise this right.


Source: https://www.garrigues.com/en_GB/new/covid-19-main-legislative-or-regulatory-initiatives-have-been-taken-portugal

Archive: https://web.archive.org/save/https://www.garrigues.com/en_GB/new/covid-19-main-legislative-or-regulatory-initiatives-have-been-taken-portugal",14.03.2020,"Restaurants are closed, some have the possibility to pick up and/or deliver. All clubs and bars are closed.
https://www.weheartlisbon.com/en/specials-en/coronavirus

Second source: https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe

Archive: https://web.archive.org/save/https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe",16.03.2020,"Quote: Although Oxford entry disagrees I think this is the best source and fits with the timeline in Portugal


All commercial establishments will also be closed except for bakeries, supermarkets, gas stations, and pharmacies. Schools have also been closed from Monday, March 16, through Thursday, April 9, as a precautionary measure.

Source: https://www.garda.com/crisis24/news-alerts/324811/portugal-government-implements-state-of-emergency-measures-due-to-covid-19-march-19-update-5

Archive: https://web.archive.org/save/https://www.garda.com/crisis24/news-alerts/324811/portugal-government-implements-state-of-emergency-measures-due-to-covid-19-march-19-update-5",16.03.2020,https://web.archive.org/web/20200321133719/https://sicnoticias.pt/especiais/coronavirus/2020-03-12-Todas-as-escolas-fechadas-ate-12-de-abril,18.03.2020,"As for the suspension of the right to travel, in addition to the ""mandatory seclusion"" of patients and those infected with COVID-19 and SARS-Cov2, or to those who have been determined to be subject to active monitoring, a ""general duty of home confinement"" is enacted, with exceptions for those travels that prove necessary for certain purposes and functions essential to survival, such as the acquisition of goods and services, the exercise of the professional practice, travels to some services, performance of procedural acts in court and provision of medical-veterinary care. Other short-term trips are foreseen, namely for physical activity, accompanying children outdoors and walking with pets. The need to travel for imperative family reasons is also provided for. Freedom of press has not been restricted, with the possibility of travelling to exercise this right.


Source: https://www.garrigues.com/en_GB/new/covid-19-main-legislative-or-regulatory-initiatives-have-been-taken-portugal

Archive: https://web.archive.org/save/https://www.garrigues.com/en_GB/new/covid-19-main-legislative-or-regulatory-initiatives-have-been-taken-portugal"
Romania,RO,ROU,14.04.2020,survey result,08.03.2020,"ban on all indoor or outdoor activities involving the participation of more than 1,000 people

Source: 
https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania#March_8%E2%80%9313:_Ban_on_public_gatherings,_school_and_border_closures

Archive: https://web.archive.org/save/http://www.ziare.com/stiri/coronavirus/--1600747",12.03.2020,Archive: https://web.archive.org/web/20200312163942/http://www.ziare.com/stiri/coronavirus/toate-evenimentele-cu-peste-100-de-persoane-in-spatii-inchise-sunt-interzise-inclusiv-slujbele-din-biserici-1601168,18.03.2020,Archive:  https://web.archive.org/save/https://www.romania-insider.com/coronavirus-romania-restrictions-restaurants-events-march-17,16.03.2020,Archive: https://web.archive.org/save/https://www.presidency.ro/ro/media/decret-semnat-de-presedintele-romaniei-domnul-klaus-iohannis-privind-instituirea-starii-de-urgenta-pe-teritoriul-romaniei,22.03.2020,Archive: https://web.archive.org/save/https://www.digi24.ro/stiri/actualitate/--1279165,11.03.2020,"https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Romania

Quote: On March 9, interim Prime-minister Ludovic Orban announced the closure of all schools between March 11 and 22

https://web.archive.org/web/20200311055754/https://www.romania-insider.com/romania-closes-schools-coronavirus-march-2020",25.03.2020,Archive: https://web.archive.org/web/20200426200618/https://stirioficiale.ro/hotarari/ordonanta-militara-nr-3-din-24-03-2020-privind-masuri-de-prevenire-a-raspandirii-covid-19
